t,wind_direction,wind_direction_quality,wind_speed,wind_speed_quality,air_temperature,air_temperature_quality,dew_point,dew_point_quality,air_pressure_at_sea_level,air_pressure_at_sea_level_quality,rainfall_1,rainfall_1_quality,rainfall_1_period
1996-08-15T03:14Z,0.349065850398866,1,2.1,1,15,1,9,1,,9,,,
1996-08-16T00:14Z,,1,0,1,19,1,9,1,,9,,,
1996-08-16T01:14Z,0.349065850398866,1,2.6,1,18,1,9,1,,9,,,
1996-08-16T02:14Z,1.0471975511966,1,1.5,1,18,1,9,1,,9,,,
1996-08-16T03:14Z,,1,0,1,17,1,8,1,,9,,,
1996-08-16T04:14Z,,1,0,1,16,1,8,1,,9,,,
1996-08-16T05:14Z,2.79252680319093,1,2.6,1,12,1,7,1,,9,,,
1996-08-16T06:14Z,3.66519142918809,1,2.1,1,9,1,5,1,,9,,,
1996-08-16T06:34Z,2.96705972839036,1,1.5,1,9,1,6,1,,9,,,
1996-08-16T08:14Z,3.83972435438753,1,1.5,1,8,1,5,1,,9,,,
1996-08-16T09:14Z,3.14159265358979,1,1.5,1,8,1,6,1,,9,,,
1996-08-16T10:14Z,,1,0,1,7,1,5,1,,9,,,
1996-08-16T11:14Z,,1,0,1,8,1,6,1,,9,,,
1996-08-16T12:14Z,,1,0,1,8,1,5,1,,9,,,
1996-08-16T14:14Z,,1,0,1,8,1,7,1,,9,,,
1996-08-16T15:14Z,3.66519142918809,1,1.5,1,9,1,5,1,,9,,,
1996-08-16T16:14Z,,1,0,1,9,1,7,1,,9,,,
1996-08-16T17:14Z,,1,0,1,11,1,7,1,,9,,,
1996-08-16T17:54Z,1.5707963267949,1,1.5,1,12,1,7,1,,9,,,
1996-08-16T18:34Z,0.698131700797732,1,1.5,1,13,1,7,1,,9,,,
1996-08-16T19:54Z,,1,0,1,15,1,9,1,,9,,,
1996-08-16T21:14Z,0.523598775598299,1,2.1,1,14,1,8,1,,9,,,
1996-08-16T21:54Z,,1,0,1,16,1,9,1,,9,,,
1996-08-16T23:15Z,0,1,2.1,1,16,1,8,1,,9,,,
