t,wind_direction,wind_direction_quality,wind_speed,wind_speed_quality,air_temperature,air_temperature_quality,dew_point,dew_point_quality,air_pressure_at_sea_level,air_pressure_at_sea_level_quality,sea_surface_temperature,sea_surface_temperature_quality
2009-06-04T19:00Z,3.49065850398866,1,3.1,1,15.1,1,,9,101870,1,,
2009-06-04T20:00Z,0.523598775598299,1,2.1,1,13.8,1,,9,101830,1,,
2009-06-04T21:00Z,0.174532925199433,1,2.6,1,17,1,,9,101830,1,,
2009-06-04T22:00Z,0.349065850398866,1,3.1,1,15.3,1,,9,101810,1,,
2009-06-04T23:00Z,0.349065850398866,1,2.1,1,17.5,1,,9,101790,1,,
2009-06-05T00:00Z,0.174532925199433,1,3.1,1,14.8,1,,9,101780,1,,
2009-06-05T01:00Z,0.174532925199433,1,2.6,1,17.6,1,,9,101760,1,,
2009-06-05T02:00Z,0,1,3.6,1,17.7,1,,9,101730,1,,
2009-06-05T03:00Z,0.174532925199433,1,4.6,1,15.8,1,,9,101680,1,,
2009-06-05T04:00Z,0.174532925199433,1,5.1,1,15.6,1,,9,101660,1,,
2009-06-05T05:00Z,0,1,3.1,1,14.7,1,,9,101680,1,,
2009-06-05T06:00Z,1.0471975511966,1,2.6,1,14.3,1,,9,101690,1,,
2009-06-05T07:00Z,5.75958653158129,1,2.6,1,15.3,1,,9,101720,1,,
2009-06-05T08:00Z,0,1,6.2,1,13.2,1,,9,101750,1,,
2009-06-05T09:00Z,0,1,2.6,1,12.8,1,,9,101760,1,,
2009-06-05T10:00Z,5.75958653158129,1,0.5,1,12.2,1,,9,101750,1,,
2009-06-05T11:00Z,2.61799387799149,1,1,1,11.9,1,,9,101710,1,,
2009-06-05T12:00Z,5.58505360638185,1,1,1,11.1,1,,9,101700,1,,
2009-06-05T13:00Z,2.79252680319093,1,1,1,10.6,1,,9,101660,1,,
2009-06-05T14:00Z,3.49065850398866,1,0.5,1,9.5,1,,9,101660,1,,
2009-06-05T15:00Z,,9,0,1,9.9,1,,9,101630,1,,
2009-06-05T16:00Z,2.26892802759263,1,1,1,10.3,1,,9,101600,1,,
2009-06-05T17:00Z,,9,,9,10.7,1,,9,101580,1,,
2009-06-05T18:00Z,0.174532925199433,1,1,1,9.7,1,,9,101590,1,,
2009-06-05T19:00Z,0.349065850398866,1,1,1,9.9,1,,9,101590,1,,
2009-06-05T20:00Z,0.349065850398866,1,1,1,10.5,1,,9,101600,1,,
2009-06-05T21:00Z,,9,0,1,12,1,,9,101610,1,,
2009-06-05T22:00Z,,9,0,1,12.2,1,,9,101630,1,,
2009-06-05T23:00Z,0,1,1,1,11.8,1,,9,101650,1,,
2009-06-06T00:00Z,0.523598775598299,1,3.1,1,11.7,1,,9,101630,1,,
2009-06-06T01:00Z,0.174532925199433,1,2.6,1,12.3,1,,9,101670,1,,
2009-06-06T02:00Z,0,1,2.6,1,12.4,1,,9,101680,1,,
2009-06-06T03:00Z,0.349065850398866,1,1.5,1,12.7,1,,9,101650,1,,
2009-06-06T04:00Z,,9,0,1,12.6,1,,9,101690,1,,
2009-06-06T05:00Z,0,1,1.5,1,12.2,1,,9,101690,1,,
2009-06-06T06:00Z,0.174532925199433,1,1.5,1,11.8,1,,9,101700,1,,
2009-06-06T07:00Z,4.18879020478639,1,1,1,11.4,1,,9,101720,1,,
2009-06-06T08:00Z,3.66519142918809,1,0.5,1,11.2,1,,9,101730,1,,
2009-06-06T09:00Z,4.18879020478639,1,1.5,1,10.7,1,,9,101740,1,,
2009-06-06T10:00Z,3.49065850398866,1,1,1,11,1,,9,101730,1,,
2009-06-06T11:00Z,,9,0,1,10.8,1,,9,101710,1,,
2009-06-06T12:00Z,4.01425727958696,1,1,1,10.7,1,,9,101700,1,,
2009-06-06T13:00Z,2.96705972839036,1,1.5,1,9.4,1,,9,101670,1,,
2009-06-06T14:00Z,,9,0,1,10.2,1,,9,101630,1,,
2009-06-06T15:00Z,,9,0,1,13,1,,9,101580,1,,
2009-06-06T16:00Z,,9,,9,11.9,1,,9,101570,1,,
2009-06-06T17:00Z,2.61799387799149,1,0.5,1,13.6,1,,9,101540,1,,
2009-06-06T18:00Z,0.523598775598299,1,0.5,1,10.8,1,,9,101520,1,,
2009-06-06T19:00Z,0.349065850398866,1,2.1,1,12.8,1,,9,101480,1,,
2009-06-06T20:00Z,0.174532925199433,1,2.6,1,12.7,1,,9,101400,1,,
2009-06-06T21:00Z,0.174532925199433,1,4.1,1,13.7,1,,9,101360,1,,
2009-06-06T22:00Z,0.174532925199433,1,4.1,1,13.2,1,,9,101310,1,,
2009-06-06T23:00Z,0.349065850398866,1,3.1,1,13.8,1,,9,101280,1,,
2009-06-07T00:00Z,0.174532925199433,1,4.1,1,14.7,1,,9,101240,1,,
2009-06-07T01:00Z,0.174532925199433,1,3.1,1,16.4,1,,9,101210,1,,
2009-06-07T02:00Z,0.174532925199433,1,3.6,1,16.8,1,,9,101170,1,,
2009-06-07T03:00Z,0.174532925199433,1,2.6,1,17.6,1,,9,101160,1,,
2009-06-07T04:00Z,1.0471975511966,1,3.1,1,17.3,1,,9,101170,1,,
2009-06-07T05:00Z,,9,,9,20.1,1,,9,101160,1,,
2009-06-07T06:00Z,,9,,9,14.5,1,,9,101150,1,,
2009-06-07T07:00Z,,9,,9,12.5,1,,9,101150,1,,
2009-06-07T08:00Z,4.01425727958696,1,1,1,12.5,1,,9,101150,1,,
2009-06-07T09:00Z,,9,,9,11.8,1,,9,101150,1,,
2009-06-07T10:00Z,,9,,9,10.6,1,,9,101150,1,,
2009-06-07T11:00Z,,9,0,1,10,1,,9,101150,1,,
2009-06-07T12:00Z,0.698131700797732,1,0.5,1,9.8,1,,9,101150,1,,
2009-06-07T13:00Z,,9,,9,8.9,1,,9,101120,1,,
2009-06-07T14:00Z,4.53785605518526,1,0.5,1,9.2,1,,9,101100,1,,
2009-06-07T15:00Z,,9,0,1,12.2,1,,9,101090,1,,
2009-06-07T16:00Z,5.93411945678072,1,1,1,11.3,1,,9,101050,1,,
2009-06-07T17:00Z,0.174532925199433,1,1,1,12,1,,9,101020,1,,
2009-06-07T18:00Z,0.174532925199433,1,2.1,1,12.5,1,,9,100950,1,,
2009-06-07T19:00Z,0,1,2.1,1,13.9,1,,9,100930,1,,
2009-06-07T20:00Z,0,1,2.6,1,16.8,1,,9,100900,1,,
2009-06-07T21:00Z,0.174532925199433,1,3.1,1,16.5,1,,9,100900,1,,
2009-06-07T22:00Z,0.174532925199433,1,4.1,1,15.4,1,,9,100860,1,,
2009-06-07T23:00Z,0.174532925199433,1,3.1,1,15.5,1,,9,100840,1,,
2009-06-08T00:00Z,0.174532925199433,1,4.6,1,17.4,1,,9,100820,1,,
2009-06-08T01:00Z,0.174532925199433,1,5.1,1,19.1,1,,9,100800,1,,
2009-06-08T02:00Z,0.174532925199433,1,5.7,1,19.3,1,,9,100810,1,,
2009-06-08T03:00Z,0,1,4.1,1,19.2,1,,9,100810,1,,
2009-06-08T04:00Z,0.174532925199433,1,4.6,1,19.4,1,,9,100810,1,,
2009-06-08T05:00Z,5.93411945678072,1,3.6,1,18.8,1,,9,100860,1,,
2009-06-08T06:00Z,4.88692190558412,1,0.5,1,18,1,,9,100880,1,,
2009-06-08T07:00Z,2.79252680319093,1,2.1,1,13.6,1,,9,100970,1,,
2009-06-08T08:00Z,4.36332312998582,1,1.5,1,13.1,1,,9,101010,1,,
2009-06-08T09:00Z,4.36332312998582,1,1.5,1,12.4,1,,9,101030,1,,
2009-06-08T10:00Z,,9,0,1,11.3,1,,9,101080,1,,
2009-06-08T11:00Z,,9,0,1,10.5,1,,9,101120,1,,
2009-06-08T12:00Z,4.18879020478639,1,1,1,10.6,1,,9,101140,1,,
2009-06-08T13:00Z,,9,0,1,9.7,1,,9,101170,1,,
2009-06-08T14:00Z,,9,0,1,10.2,1,,9,101190,1,,
2009-06-08T15:00Z,0.174532925199433,1,1,1,10.9,1,,9,101220,1,,
2009-06-08T16:00Z,6.10865238198015,1,0.5,1,10.2,1,,9,101260,1,,
2009-06-08T17:00Z,,9,0,1,12.5,1,,9,101270,1,,
2009-06-08T18:00Z,0.523598775598299,1,1,1,13.3,1,,9,101300,1,,
2009-06-08T19:00Z,0.349065850398866,1,2.6,1,12.7,1,,9,101300,1,,
2009-06-08T20:00Z,0.174532925199433,1,3.6,1,12.7,1,,9,101300,1,,
2009-06-08T21:00Z,0.174532925199433,1,4.6,1,13.1,1,,9,101300,1,,
2009-06-08T22:00Z,0.174532925199433,1,6.2,1,13.4,1,,9,101300,1,,
2009-06-08T23:00Z,0.174532925199433,1,7.2,1,12.9,1,,9,101320,1,,
2009-06-09T00:00Z,0.174532925199433,1,8.7,1,13.3,1,,9,101320,1,,
2009-06-09T01:00Z,0,1,5.7,1,14.3,1,,9,101330,1,,
2009-06-09T02:00Z,0,1,5.1,1,14.2,1,,9,101320,1,,
2009-06-09T03:00Z,0.174532925199433,1,5.1,1,14,1,,9,101310,1,,
2009-06-09T04:00Z,0.174532925199433,1,6.2,1,13.4,1,,9,101300,1,,
2009-06-09T05:00Z,0.174532925199433,1,5.1,1,12.6,1,,9,101330,1,,
2009-06-09T06:00Z,0,1,3.6,1,12.3,1,,9,101370,1,,
2009-06-09T07:00Z,0,1,3.6,1,11.9,1,,9,101410,1,,
2009-06-09T08:00Z,0.174532925199433,1,1.5,1,11.6,1,,9,101460,1,,
2009-06-09T09:00Z,0,1,3.1,1,11.3,1,,9,101480,1,,
2009-06-09T10:00Z,0.698131700797732,1,0.5,1,11.6,1,,9,101500,1,,
2009-06-09T11:00Z,0,1,0.5,1,11.1,1,,9,101530,1,,
2009-06-09T12:00Z,3.49065850398866,1,1.5,1,11.2,1,,9,101510,1,,
2009-06-09T13:00Z,3.31612557878923,1,1,1,11,1,,9,101510,1,,
2009-06-09T14:00Z,3.31612557878923,1,1,1,11.1,1,,9,101530,1,,
2009-06-09T15:00Z,2.79252680319093,1,0.5,1,10.9,1,,9,101560,1,,
2009-06-09T16:00Z,2.61799387799149,1,0.5,1,10.7,1,,9,101550,1,,
2009-06-09T17:00Z,2.61799387799149,1,1,1,11,1,,9,101550,1,,
2009-06-09T18:00Z,,9,0,1,12,1,,9,101540,1,,
2009-06-09T19:00Z,0.349065850398866,1,1.5,1,11.8,1,,9,101530,1,,
2009-06-09T20:00Z,0.174532925199433,1,2.6,1,11.7,1,,9,101510,1,,
2009-06-09T21:00Z,0.174532925199433,1,3.6,1,12,1,,9,101500,1,,
2009-06-09T22:00Z,0.174532925199433,1,4.1,1,12.2,1,,9,101460,1,,
2009-06-09T23:00Z,0.174532925199433,1,4.1,1,13.2,1,,9,101440,1,,
