t,wind_direction,wind_direction_quality,wind_speed,wind_speed_quality,air_temperature,air_temperature_quality,dew_point,dew_point_quality,air_pressure_at_sea_level_quality
1967-07-02T18:00Z,0.698131700797732,5,2.6,5,11.7,5,7.2,5,9
1967-07-02T19:00Z,0.872664625997165,5,2.6,5,12.8,5,7.2,5,9
1967-07-02T20:00Z,0.872664625997165,5,2.6,5,13.9,5,6.7,5,9
1967-07-02T21:00Z,1.22173047639603,5,2.6,5,14.4,5,6.7,5,9
1967-07-02T22:00Z,0.174532925199433,5,3.6,5,15,5,6.7,5,9
1967-07-02T23:00Z,0.174532925199433,5,3.1,5,15.6,5,7.8,5,9
1967-07-03T00:00Z,0.523598775598299,5,4.1,5,17.8,5,8.9,5,9
1967-07-03T01:00Z,0.174532925199433,5,4.6,5,17.8,5,8.9,5,9
1967-07-03T02:00Z,0,5,6.2,5,18.3,5,8.9,5,9
1967-07-03T18:00Z,,5,0,5,14.4,5,8.3,5,9
1967-07-03T19:00Z,0.523598775598299,5,2.6,5,16.1,5,9.4,5,9
1967-07-03T21:00Z,0.698131700797732,5,4.6,5,17.2,5,8.3,5,9
1967-07-03T22:00Z,1.0471975511966,5,7.2,5,18.3,5,8.3,5,9
1967-07-03T23:00Z,0.698131700797732,5,5.7,5,17.8,5,8.9,5,9
1967-07-04T00:00Z,0,5,4.6,5,17.2,5,9.4,5,9
1967-07-04T01:00Z,0.174532925199433,5,4.1,5,17.2,5,9.4,5,9
1967-07-04T19:00Z,,5,0,5,13.9,5,10,5,9
1967-07-04T20:00Z,0.523598775598299,5,3.1,5,13.9,5,10,5,9
1967-07-05T18:00Z,2.44346095279206,5,2.1,5,13.9,5,8.9,5,9
1967-07-05T20:00Z,0.523598775598299,5,4.1,5,13.3,5,8.9,5,9
1967-07-05T21:00Z,0.349065850398866,5,2.1,5,13.3,5,8.9,5,9
1967-07-05T22:00Z,0.349065850398866,5,3.1,5,13.3,5,8.9,5,9
1967-07-05T23:00Z,0.698131700797732,5,2.6,5,13.3,5,8.9,5,9
1967-07-06T01:00Z,1.39626340159546,5,2.6,5,13.3,5,10,5,9
1967-07-06T02:00Z,,5,0,5,13.3,5,11.7,5,9
1967-07-06T20:00Z,,5,0,5,13.3,5,8.9,5,9
1967-07-06T23:00Z,1.22173047639603,5,2.6,5,13.3,5,8.9,5,9
1967-07-07T00:00Z,0.698131700797732,5,3.6,5,13.9,5,8.3,5,9
1967-07-07T01:00Z,0.174532925199433,5,2.1,5,14.4,5,8.9,5,9
1967-07-07T02:00Z,0.349065850398866,5,4.1,5,14.4,5,8.9,5,9
1967-07-07T18:00Z,,5,0,5,11.7,5,8.3,5,9
1967-07-07T19:00Z,,5,0,5,12.2,5,8.9,5,9
1967-07-07T20:00Z,0.872664625997165,5,2.6,5,12.8,5,7.2,5,9
1967-07-07T21:00Z,0.698131700797732,5,2.1,5,12.8,5,7.2,5,9
1967-07-07T23:00Z,1.22173047639603,5,3.1,5,12.8,5,7.2,5,9
1967-07-08T00:00Z,0.872664625997165,5,4.1,5,13.3,5,7.8,5,9
1967-07-08T01:00Z,0.698131700797732,5,3.1,5,13.9,5,8.3,5,9
1967-07-08T02:00Z,0.698131700797732,5,2.6,5,13.3,5,8.9,5,9
1967-07-08T18:00Z,,5,0,5,11.1,5,9.4,5,9
1967-07-08T19:00Z,,5,0,5,11.7,5,10,5,9
1967-07-08T20:00Z,,5,0,5,11.1,5,10,5,9
1967-07-08T21:00Z,,5,0,5,11.7,5,10,5,9
1967-07-08T22:00Z,0.872664625997165,5,2.1,5,11.7,5,10,5,9
1967-07-09T00:00Z,0.698131700797732,5,3.1,5,12.2,5,10,5,9
1967-07-09T01:00Z,1.22173047639603,5,3.1,5,12.2,5,8.9,5,9
1967-07-09T19:00Z,1.5707963267949,5,2.6,5,15,5,8.9,5,9
1967-07-10T18:00Z,0.872664625997165,5,3.6,5,13.3,5,8.9,5,9
1967-07-10T20:00Z,0.698131700797732,5,4.1,5,17.2,5,10,5,9
1967-07-11T18:00Z,4.18879020478639,5,4.6,5,24.4,5,5,5,9
1967-07-11T19:00Z,5.58505360638185,5,2.6,5,25.6,5,5,5,9
1967-07-11T20:00Z,3.66519142918809,5,2.1,5,25.6,5,4.4,5,9
1967-07-11T21:00Z,0.349065850398866,5,4.6,5,25.6,5,4.4,5,9
1967-07-11T22:00Z,0.349065850398866,5,4.1,5,23.9,5,4.4,5,9
1967-07-12T00:00Z,0.174532925199433,5,12.9,5,21.1,5,10,5,9
1967-07-12T18:00Z,,5,0,5,15.6,5,10,5,9
1967-07-12T19:00Z,,5,0,5,15.6,5,10,5,9
1967-07-12T20:00Z,0.523598775598299,5,3.1,5,18.3,5,7.2,5,9
1967-07-12T21:00Z,0,5,3.6,5,19.4,5,8.9,5,9
1967-07-12T22:00Z,0.523598775598299,5,3.6,5,18.9,5,7.8,5,9
1967-07-13T00:00Z,0.523598775598299,5,3.6,5,19.4,5,8.3,5,9
1967-07-13T02:00Z,0.698131700797732,5,2.6,5,16.7,5,8.9,5,9
1967-07-13T18:00Z,0.698131700797732,5,3.6,5,15.6,5,10,5,9
1967-07-13T19:00Z,0.872664625997165,5,3.6,5,16.7,5,8.9,5,9
1967-07-13T21:00Z,0.523598775598299,5,4.6,5,18.3,5,7.2,5,9
1967-07-13T22:00Z,0.523598775598299,5,6.2,5,21.1,5,10,5,9
1967-07-13T23:00Z,0.349065850398866,5,8.8,5,21.1,5,10,5,9
1967-07-14T00:00Z,0.174532925199433,5,5.7,5,21.1,5,10,5,9
1967-07-14T19:00Z,,5,0,5,13.3,5,8.9,5,9
1967-07-14T22:00Z,0.698131700797732,5,3.1,5,13.3,5,8.9,5,9
1967-07-14T23:00Z,0.523598775598299,5,2.6,5,16.1,5,7.2,5,9
1967-07-15T00:00Z,0.523598775598299,5,3.1,5,16.1,5,7.2,5,9
1967-07-15T01:00Z,0.523598775598299,5,3.6,5,16.1,5,7.2,5,9
1967-07-15T02:00Z,0.872664625997165,5,2.6,5,15.6,5,10,5,9
1967-07-15T18:00Z,,5,0,5,14.4,5,11.1,5,9
1967-07-15T19:00Z,,5,0,5,15,5,11.7,5,9
1967-07-15T21:00Z,,5,0,5,15.6,5,10,5,9
1967-07-15T22:00Z,0.698131700797732,5,2.6,5,15.6,5,10,5,9
1967-07-16T00:00Z,0.698131700797732,5,4.6,5,15.6,5,10,5,9
1967-07-16T01:00Z,2.96705972839036,5,2.6,5,14.4,5,11.1,5,9
1967-07-16T02:00Z,2.96705972839036,5,3.6,5,14.4,5,11.1,5,9
1967-07-16T18:00Z,,5,0,5,13.3,5,8.9,5,9
1967-07-16T19:00Z,0,5,1,5,13.9,5,8.9,5,9
1967-07-16T23:00Z,,5,0,5,13.9,5,8.9,5,9
1967-07-17T19:00Z,,5,0,5,13.3,5,11.1,5,9
1967-07-17T20:00Z,0.872664625997165,5,3.1,5,13.3,5,11.1,5,9
1967-07-17T22:00Z,0.872664625997165,5,3.1,5,14.4,5,11.1,5,9
1967-07-18T01:00Z,0.523598775598299,5,2.6,5,14.4,5,11.1,5,9
1967-07-18T02:00Z,0.698131700797732,5,2.6,5,12.8,5,11.1,5,9
1967-07-18T18:00Z,,5,0,5,11.7,5,10.6,5,9
1967-07-18T19:00Z,,5,0,5,12.2,5,10,5,9
1967-07-18T20:00Z,,5,0,5,13.3,5,10,5,9
1967-07-18T21:00Z,,5,0,5,13.3,5,10,5,9
1967-07-18T22:00Z,,5,0,5,13.3,5,10,5,9
1967-07-18T23:00Z,,5,0,5,13.3,5,11.1,5,9
1967-07-19T00:00Z,,5,0,5,13.3,5,11.1,5,9
1967-07-19T01:00Z,,5,0,5,13.3,5,11.1,5,9
1967-07-19T02:00Z,,5,0,5,13.3,5,10,5,9
1967-07-19T18:00Z,,5,0,5,11.1,5,10,5,9
1967-07-19T19:00Z,,5,0,5,12.2,5,10,5,9
1967-07-19T20:00Z,,5,0,5,12.2,5,10,5,9
1967-07-19T21:00Z,,5,0,5,12.2,5,10,5,9
1967-07-19T22:00Z,,5,0,5,12.2,5,10,5,9
1967-07-20T00:00Z,,5,0,5,12.2,5,10,5,9
1967-07-20T01:00Z,0.698131700797732,5,4.6,5,12.2,5,10,5,9
1967-07-20T02:00Z,,5,0,5,11.1,5,8.9,5,9
1967-07-20T19:00Z,,5,0,5,11.1,5,10,5,9
1967-07-20T20:00Z,,5,0,5,11.7,5,10.6,5,9
1967-07-20T21:00Z,,5,0,5,12.2,5,11.1,5,9
1967-07-20T22:00Z,0.523598775598299,5,2.1,5,12.2,5,11.1,5,9
1967-07-20T23:00Z,0.349065850398866,5,1.5,5,12.2,5,11.1,5,9
1967-07-21T00:00Z,0.698131700797732,5,2.1,5,12.2,5,11.1,5,9
1967-07-21T01:00Z,0.698131700797732,5,2.6,5,12.2,5,11.1,5,9
1967-07-21T02:00Z,0.698131700797732,5,2.1,5,11.7,5,10.6,5,9
1967-07-21T19:00Z,1.22173047639603,5,1.5,5,13.3,5,10,5,9
1967-07-21T20:00Z,2.61799387799149,5,1.5,5,13.3,5,10,5,9
1967-07-21T21:00Z,0.698131700797732,5,2.6,5,14.4,5,10,5,9
1967-07-21T22:00Z,0.349065850398866,5,3.1,5,15,5,10,5,9
1967-07-22T00:00Z,0.523598775598299,5,2.6,5,15.6,5,10,5,9
1967-07-22T02:00Z,0.698131700797732,5,3.1,5,18.3,5,12.8,5,9
1967-07-22T19:00Z,,5,0,5,12.2,5,11.7,5,9
1967-07-22T20:00Z,,5,0,5,12.2,5,11.1,5,9
1967-07-22T21:00Z,,5,0,5,13.3,5,12.2,5,9
1967-07-22T22:00Z,0.523598775598299,5,2.1,5,13.3,5,11.1,5,9
1967-07-23T00:00Z,,5,0,5,13.3,5,11.1,5,9
