id,name,longitude,latitude,elevation
702750-26442,NATIONAL WEATHER SERVICE OFFICE,-146.352,61.13,29
702754-99999,VALDEZ,-146.25,61.133,37
702756-26479,VALDEZ PIONEER FIELD AIRPORT,-146.244,61.132,18.3
702756-99999,VALDEZ PIONEER FIEL,-146.25,61.133,36
992850-99999,WEST ORCA BAY 36NM SOUTH SOUTHWEST OF VA,-146.83,60.58,0
994660-99999,POTATO POINT,-146.7,61.06,7
994670-99999,MIDDLE ROCK LIGHT,-146.66,61.08,0
994680-99999,BLIGH REEF LIGHT,-146.88,60.84,0
997203-99999,WESTERN PRINCE WILLIAM SOUND,-148.28,60.8,3
998271-99999,VALDEZ,-146.367,61.133,3
999999-26442,VALDEZ WSO,-146.352,61.13,11.3
